"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1774","Check displaying of dashboard page","LMS system","Sat Apr 25 10:13:03 UTC 2026","passed","Sat Apr 25 10:13:05 UTC 2026","Dashboard","Dashboard","",""
"","3592","User login with correct email or password","LMS system","Sat Apr 25 10:12:51 UTC 2026","passed","Sat Apr 25 10:12:55 UTC 2026","Authorization","Authentication","",""
"","1501","Check displaying of empty courses list","LMS system","Sat Apr 25 10:12:59 UTC 2026","passed","Sat Apr 25 10:13:01 UTC 2026","Courses","Courses","",""
"","2979","Edit course","LMS system","Sat Apr 25 10:13:01 UTC 2026","passed","Sat Apr 25 10:13:04 UTC 2026","Courses","Courses","",""
"","1852","User login with wrong email or password:   ","LMS system","Sat Apr 25 10:12:54 UTC 2026","passed","Sat Apr 25 10:12:56 UTC 2026","Authorization","Authentication","",""
"","2296","User login with wrong email or password: user.name@gmail.com","LMS system","Sat Apr 25 10:12:51 UTC 2026","passed","Sat Apr 25 10:12:54 UTC 2026","Authorization","Authentication","",""
"","1705","Registration with correct email, username and password","LMS system","Sat Apr 25 10:12:57 UTC 2026","passed","Sat Apr 25 10:12:59 UTC 2026","Registration","Authentication","",""
"","1734","User login with wrong email or password: user.name@gmail.com","LMS system","Sat Apr 25 10:12:55 UTC 2026","passed","Sat Apr 25 10:12:57 UTC 2026","Authorization","Authentication","",""
"","1483","Navigation from login page to registration page","LMS system","Sat Apr 25 10:12:56 UTC 2026","passed","Sat Apr 25 10:12:58 UTC 2026","Authorization","Authentication","",""
"","2305","Create course","LMS system","Sat Apr 25 10:13:01 UTC 2026","passed","Sat Apr 25 10:13:03 UTC 2026","Courses","Courses","",""
